Entity,Code,Year,"Childrens Violent Discipline Rate





"
Georgia,GEO,2005,67
Tajikistan,TJK,2005,78
Azerbaijan,AZE,2006,77
Burkina Faso,BFA,2006,83
Cote d'Ivoire,CIV,2006,91
Djibouti,DJI,2006,72
Syria,SYR,2006,89
Trinidad and Tobago,TTO,2006,77
Liberia,LBR,2007,90
Morocco,MAR,2007,91
Fiji,FJI,2008,72
Kiribati,KIR,2008,81
Solomon Islands,SLB,2008,72
Albania,ALB,2009,77
Lebanon,LBN,2009,82
Armenia,ARM,2010,70
Central African Republic,CAF,2010,92
Chad,TCD,2010,84
Gambia,GMB,2010,90
Sierra Leone,SLE,2010,82
Suriname,SUR,2010,86
Afghanistan,AFG,2011,74
Belize,BLZ,2011,71
Costa Rica,CRI,2011,46
Ghana,GHA,2011,94
Iraq,IRQ,2011,79
Jamaica,JAM,2011,85
Kazakhstan,KAZ,2011,49
Mauritania,MRT,2011,87
Nigeria,NGA,2011,91
North Macedonia,MKD,2011,69
Argentina,ARG,2012,72
Barbados,BRB,2012,75
Belarus,BLR,2012,65
Bosnia and Herzegovina,BIH,2012,55
Haiti,HTI,2012,85
Jordan,JOR,2012,90
Laos,LAO,2012,76
Moldova,MDA,2012,76
Niger,NER,2012,82
Qatar,QAT,2012,50
Saint Lucia,LCA,2012,68
Tunisia,TUN,2012,93
Ukraine,UKR,2012,61
Algeria,DZA,2013,86
Bangladesh,BGD,2013,82
Mongolia,MNG,2013,47
Montenegro,MNE,2013,69
Panama,PAN,2013,45
Uruguay,URY,2013,55
Vanuatu,VUT,2013,84
Yemen,YEM,2013,79
Benin,BEN,2014,91
Cameroon,CMR,2014,85
Cuba,CUB,2014,36
Democratic Republic of Congo,COD,2014,82
Dominican Republic,DOM,2014,63
Egypt,EGY,2014,93
El Salvador,SLV,2014,52
Eswatini,SWZ,2014,88
Guinea-Bissau,GNB,2014,82
Guyana,GUY,2014,70
Kyrgyzstan,KGZ,2014,57
Malawi,MWI,2014,72
Nepal,NPL,2014,82
Palestine,PSE,2014,92
Sao Tome and Principe,STP,2014,80
Serbia,SRB,2014,43
Sudan,SDN,2014,64
Togo,TGO,2014,81
Vietnam,VNM,2014,68
Zimbabwe,ZWE,2014,63
Congo,COG,2015,83
