LOCATION,Country,VAR,Variable ,TIME,Time,Unit Code,Unit,PowerCode ,PowerCode,Reference ,Reference ,Value
AUS,Australia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,212
AUT,Austria,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,1.373
BEL,Belgium,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,115
DNK,Denmark,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,692
FIN,Finland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,2.006
FRA,France,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,268
DEU,Germany,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,428
GRC,Greece,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,244
HUN,Hungary,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,1.101
ISL,Iceland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,499
IRL,Ireland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,909
ITA,Italy,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,769
JPN,Japan,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,893
NLD,Netherlands,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,203
NOR,Norway,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,573
POL,Poland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,385
PRT,Portugal,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,1.045
ESP,Spain,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,301
SWE,Sweden,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,1.571
CHE,Switzerland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,338
GBR,United Kingdom,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,514
USA,United States,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,466
COL,Colombia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,317
EST,Estonia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,1.377
LTU,Lithuania,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,635
OECD,OECD - Total,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2012,2012,0,0,0,Units,0,0,478
AUS,Australia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,379
AUT,Austria,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,1.824
BEL,Belgium,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,0.19
DNK,Denmark,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,1.049
FIN,Finland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,2.531
FRA,France,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,382
DEU,Germany,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,586
GRC,Greece,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,305
HUN,Hungary,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,1.063
ISL,Iceland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,966
IRL,Ireland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,1.143
ITA,Italy,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,861
JPN,Japan,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,1.302
LUX,Luxembourg,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,861
NLD,Netherlands,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,275
NOR,Norway,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,762
POL,Poland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,505
PRT,Portugal,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,954
ESP,Spain,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,406
SWE,Sweden,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,2.247
CHE,Switzerland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,553
GBR,United Kingdom,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,541
USA,United States,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,924
COL,Colombia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,667
EST,Estonia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,1.708
LTU,Lithuania,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,687
SVN,Slovenia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,623
OECD,OECD - Total,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,0.75
ISR,Israel,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2013,2013,0,0,0,Units,0,0,976
AUS,Australia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,675
AUT,Austria,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,2.53
BEL,Belgium,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,0.35
CZE,Czechia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,383
DNK,Denmark,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.666
FIN,Finland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,3.739
FRA,France,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,654
DEU,Germany,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,697
GRC,Greece,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,404
HUN,Hungary,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.13
ISL,Iceland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.963
IRL,Ireland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.523
ITA,Italy,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.063
JPN,Japan,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.681
KOR,Korea,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.938
LUX,Luxembourg,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.29
NLD,Netherlands,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,0.48
NOR,Norway,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.233
POL,Poland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.051
PRT,Portugal,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.066
ESP,Spain,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,526
SWE,Sweden,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,2.866
CHE,Switzerland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.065
TUR,Türkiye,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,893
GBR,United Kingdom,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,954
USA,United States,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.045
COL,Colombia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,677
EST,Estonia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,2.846
LVA,Latvia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,2.34
LTU,Lithuania,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,868
SVN,Slovenia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,689
OECD,OECD - Total,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.079
